"route","animal","species","type","frequency","project","recv1","recv2","lon1","lat1","lon2","lat2","dtStart","dtEnd"
"2501.3290","4415,4410,4385,11928,7017,11928,7017,15225,11932,15315,15326,15326,15326,15326,15326,13688,15346,11574,11574,17194,17194,17154,17154,17154,17154,21697,19340,17093,17138,17094","16820,16820,16820,4690,4690,4690,4690,4180,4690,4180,4690,4690,4690,4690,4690,15580,4760,4690,4690,4690,4690,4690,4690,4690,4690,4690,4180,4690,4690,4690","LineString","166.38","3,38,59,67,78,86,109,153",3290,2501,-63.5407,45.3338,-63.343,45.3673,2015-09-13,2018-09-05
"2501.3301","4357","16820","LineString","166.38","86",2501,3301,-63.343,45.3673,-65.2353,43.6914,2015-09-12,2015-09-13
"2501.3382","8294","4180","LineString","166.38","78",3382,2501,-64.4902,47.9341,-63.343,45.3673,2016-08-27,2016-08-27
"2501.3454","17156","4690","LineString","166.38","78",2501,3454,-63.343,45.3673,-69.719,48.1406,2018-09-22,2019-01-11
"2501.3526","15315,17194","4180,4690","LineString","166.38","38,78",2501,3526,-63.343,45.3673,-52.3254,4.9444,2017-09-07,2018-09-08
"2501.3654","15346,17093,17094","4760,4690,4690","LineString","166.38","38,78",2501,3654,-63.343,45.3673,-62.5599,44.8057,2017-10-06,2018-09-23
"2501.3874","17194","4690","LineString","166.38","78",3874,2501,-73.9385,45.4307,-63.343,45.3673,2018-08-31,2018-09-01
"2501.3977","13637","4180","LineString","166.38","78",2501,3977,-63.343,45.3673,-62.3474,44.9133,2017-09-02,2017-09-03
"2501.4101","12259","4690","LineString","166.38","78",4101,2501,-64.4901,47.9341,-63.343,45.3673,2017-08-26,2017-08-26
"2501.4111","11921","4690","LineString","166.38","59",4111,2501,-63.1843,46.4276,-63.343,45.3673,2017-07-18,2017-07-18
