"stationID","deployID","name","dtStart","dtEnd","nAnt","frequency","country","continent"
1966,3710,"RTNJ",2016-09-28,2017-04-28,4,"166.38",NA,NA
2111,3711,"SHEAR",2016-05-24,2017-04-23,NA,NA,NA,NA
1894,3713,"Quempillen (Chile)",2017-01-10,2017-10-06,4,"166.38","CHL","South America and the Caribbean"
2370,3714,"Trinity River NWR - Champion Lake",2017-01-12,NA,2,"166.38","USA","North America"
1143,3716,"HR Summer Deployment SE",2016-08-01,2016-10-24,4,"166.38","CAN","North America"
1142,3718,"HR Summer Deployment NW",2016-08-01,2016-09-17,4,"166.38","CAN","North America"
1476,3719,"Migration Fall Deployment NW",2016-09-17,2016-10-26,3,"166.38","CAN","North America"
1143,3720,"HR Summer Deployment SE",2016-07-01,2016-08-01,4,"166.38","CAN","North America"
1142,3721,"HR Summer Deployment NW",2016-07-01,2016-08-01,4,"166.38","CAN","North America"
890,3722,"FG1_2016_2",2016-09-23,2016-12-02,3,"150.1",NA,NA
900,3723,"FINWR",2017-01-07,2017-09-13,3,"166.38",NA,NA
61,3729,"27_Emden",2017-01-26,NA,3,"150.1","DEU","Eurasia"
260,3731,"Aylmer",2016-11-16,2017-03-15,2,"166.38","CAN","North America"
320,3732,"Binbrook_Conservation_Area",2016-11-22,2017-04-23,2,"166.38","CAN","North America"
445,3733,"Bright",2016-11-11,2017-04-04,2,"166.38","CAN","North America"
485,3734,"Cabot_Head",2016-11-09,2017-04-14,2,"166.38","CAN","North America"
504,3735,"Campbellville",2016-11-16,2019-06-05,2,"166.38","CAN","North America"
