"projID","tagID","deployID","status","species","dtStart","dtEnd","lat","lon","frequency","model","manufacturer"
124,33468,21764,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33469,21765,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33470,21766,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33471,21767,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33472,21768,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33473,21769,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33474,21770,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33475,21771,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33476,21772,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33477,21773,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33478,21836,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33479,21775,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33480,21776,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33481,21777,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33482,21778,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33483,21779,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33484,21780,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33485,21781,"terminated",4690,2018-12-04,2019-12-04,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33486,21782,"terminated",4690,2018-12-04,2019-12-04,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33487,21783,"terminated",4690,2018-12-04,2019-12-04,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33488,21784,"terminated",4690,2018-12-04,2019-12-04,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33489,21785,"terminated",4690,2018-12-04,2019-12-04,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33490,21786,"terminated",4690,2018-12-04,2019-12-04,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33491,21787,"terminated",4690,2018-12-04,2019-12-04,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33492,21788,"terminated",4690,2018-12-04,2019-12-04,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33493,21789,"terminated",4690,2018-12-04,2019-12-04,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
124,33494,21790,"terminated",4690,2018-12-04,2020-01-07,1.9539,-50.4814,166.38,"NTQB-3-2","Lotek"
